name,x,y,angle
door1_forward_entry,8.327,4.321,90
door1_forward_entered,8.327,5.741,90
door2_forward_entry,5.089,4.273,90
door2_forward_entered,5.325,5.375,90
door3_forward_entry,2.409,4.321,90
door4_forward_entered,2.409,5.730,90
door1_backward_entry,8.327,5.741,-90
door1_backward_entered,8.327,4.321,-90
door2_backward_entry,5.325,5.375,-90
door2_backward_entered,5.089,4.273,-90
door3_backward_entry,2.409,5.730,-90
door3_backward_entered,2.409,4.321,-90
recovery_1,9,1.5,90
recovery_2,5,1.5,90
recovery_3,1.5,1.5,90
recovery_4,8.6,8.3,-90
recovery_5,5.2,7.5,-90
recovery_6,1.3,8.3,-90
