name,x,y,angle
wp_g1,0.334,4.381,0
wp_g2,5.025,3.002,-90
wp_g3,1.443,1.099,-180
wp_g4,-0.147,-1.617,-90
wp_g5,1.333,-4.860,0
wp_g6,3.878,-3.835,90

wp_r6,0.334,4.381,180
wp_r5,5.025,3.002,90
wp_r4,1.443,1.099,0
wp_r3,-0.147,-1.617,90
wp_r2,1.333,-4.860,180
wp_r1,3.878,-3.835,270

hallway,5.232,0.322,230
waypoint,8.909,-2.394,230
arena,-0.039,0.157,230

hallway1,0.334,4.381,0
waypoint1,-0.147,-1.617,-90
arena1,3.878,-3.835,90

start,-0.13,-3.23,-88
recovery1,1.5,-4.9,0
recovery2,1.8,-4.6,0
recovery3,3.4,-3.3,0
recovery4,3.4,-2.2,0
table1,4.2,-2.5,0
table2,3.3,-4.2,-88
